---
layout: post
title: 2020-2021/743场LOL比赛部分数据汇总
---
-

2021.2.24

blue_kill	blue_team	red_kill	red_team		单1双2	time  
8	MAD	20	RGE	28	2	"36 :
                            30"		
15	MAD	13	RGE	28	2	"44 :
                            12"		
7	RGE	14	MAD	21	1	"23 :
                            43"		
12	EDG	22	LGD	34	2	"34 :
                            12"		
17	EDG	10	LGD	27	1	"38 :
                            33"		
5	EDG	13	LGD	18	2	"25 :
                            37"		
5	EDG	13	LGD	18	2			
1	PGG	11	UOL	12	2	"28 :
                            46"		
13	INF	8	DFM	21	1	"27 :
                            13"		
13	INF	8	DFM	21	1			
4	INF	16	DK	20	2	"24 :
                            31"		
15	DFM	8	C9	23	1	"31 :
                            36"		
2	PNG	20	PSG	22	2	"25 :
                            06"		
18	IW	26	MAD	44	2	"37 :
                            49"		
18	IW	26	MAD	44	2			
12	MAD	16	IW	28	2	"30 :
                            23"		
17	PSG	3	PNG	20	2	"32 :
                            03"		
27	PNG	18	IW	45	1	"28 :
                            49"		
5	PNG	17	MAD	22	2	"31 :
                            12"		
6	PSG	18	MAD	24	2	"34 :
                            02"		
6	PSG	18	MAD	24	2			
24	C9	18	DK	42	2	"44 :
                            30"		
17	DK	9	INF	26	2	"36 :
                            58"		
17	DK	9	INF	26	2			
11	DFM	17	DK	28	2	"28 :
                            37"		
15	MAD	7	PGG	22	2	"26 :
                            11"		
9	C9	18	PSG	27	1	"29 :
                            40"		
16	MAD	13	PSG	29	1	"35 :
                            52"		
16	MAD	13	PSG	29	1			
6	DK	17	RNG	23	1	"27 :
                            45"		
6	DK	17	RNG	23	1			
24	PSG	4	PGG	28	2	"22 :
                            16"		
8	RNG	14	C9	22	2	"29 :
                            43"		
8	RNG	14	C9	22	2			
19	C9	6	PGG	25	1	"25 :
                            25"		
9	DK	4	MAD	13	1	"31 :
                            23"		
9	RNG	26	PSG	35	1	"28 :
                            07"		
16	C9	16	DK	32	2	"35 :
                            27"		
30	RNG	4	PGG	34	2	"18 :
                            32"		
15	PSG	16	RNG	31	1	"36 :
                            57"		
9	PGG	25	MAD	34	2	"24 :
                            27"		
21	DK	6	PSG	27	1	"29 :
                            07"		
20	C9	7	RNG	27	1	"30 :
                            09"		
16	PGG	5	C9	21	1	"37 :
                            38"		
9	MAD	17	DK	26	2	"31 :
                            33"		
17	RNG	13	DK	30	2	"34 :
                            12"		
7	PGG	22	PSG	29	1	"26 :
                            58"		
15	MAD	30	C9	45	1	"36 :
                            31"		
7	RNG	22	MAD	29	1	"31 :
                            25"		
25	PSG	11	C9	36	2	"36 :
                            56"		
17	DK	5	PGG	22	2	"27 :
                            12"		
14	RNG	9	PSG	23	1	"46 :
                            55"		
20	PSG	8	RNG	28	2	"29 :
                            11"		
15	RNG	4	PSG	19	1	"22 :
                            55"		
18	PSG	24	RNG	42	2	"35 :
                            57"		
16	DK	5	MAD	21	1	"25 :
                            48"		
18	MAD	11	DK	29	1	"31 :
                            47"		
15	DK	21	MAD	36	2	"34 :
                            42"		
26	DK	8	MAD	34	2	"22 :
                            26"		
5	MAD	18	DK	23	1	"23 :
                            40"		
21	RNG	15	DK	36	2	"39 :
                            10"		
19	DK	8	RNG	27	1	"29 :
                            35"		
16	RNG	8	DK	24	2	"34 :
                            18"		
16	DK	6	RNG	22	2	"29 :
                            27"		
27	RNG	9	DK	36	2	"27 :
                            17"		
8	IG	11	SN	19	1	"33 :
                            08"		
1	SN	12	IG	13	1	"29 :
                            46"		
8	SN	19	IG	27	1	"24 :
                            59"		
12	FPX	1	RW	13	1	"17 :
                            07"		
10	FPX	3	RW	13	1	"22 :
                            51"		
6	OMG	15	RA	21	1	"32 :
                            45"		
10	RA	4	OMG	14	2	"26 :
                            56"		
7	EDG	11	BLG	18	2	"34 :
                            11"		
4	BLG	17	EDG	21	1	"33 :
                            43"		
7	BLG	21	EDG	28	2	"34 :
                            31"		
19	FPX	17	UP	36	2	"36 :
                            55"		
20	UP	8	FPX	28	2	"27 :
                            45"		
23	FPX	5	UP	28	2	"27 :
                            56"		
13	LNG	2	V5	15	1	"26 :
                            48"		
2	V5	23	LNG	25	1	"20 :
                            56"		
7	RA	21	LGD	28	2	"30 :
                            46"		
23	LGD	21	RA	44	2	"37 :
                            20"		
18	RA	6	LGD	24	2	"28 :
                            42"		
2	TT	20	JDG	22	2	"28 :
                            41"		
17	TT	24	JDG	41	1	"29 :
                            16"		
4	BLG	11	LNG	15	1	"39 :
                            20"		
23	WE	13	SN	36	2	"38 :
                            29"		
8	LNG	11	BLG	19	1	"35 :
                            01"		
25	SN	15	WE	40	2	"37 :
                            00"		
19	LNG	9	BLG	28	2	"33 :
                            01"		
16	WE	5	SN	21	1	"34 :
                            18"		
14	EDG	4	IG	18	2	"35 :
                            37"		
12	EDG	17	IG	29	1	"37 :
                            36"		
23	JDG	8	TES	31	1	"33 :
                            57"		
9	TES	23	JDG	32	2	"26 :
                            28"		
16	OMG	3	IG	19	1	"32 :
                            14"		
13	IG	4	OMG	17	1	"22 :
                            46"		
24	OMG	10	IG	34	2	"30 :
                            55"		
12	EDG	3	RA	15	1	"26 :
                            51"		
15	EDG	3	RA	18	1	"24 :
                            21"		
15	WE	3	TT	18	1	"25 :
                            42"		
18	WE	8	TT	26	2	"28 :
                            25"		
21	LGD	14	UP	35	1	"40 :
                            33"		
14	UP	21	LGD	35	1	"30 :
                            06"		
14	JDG	21	LNG	35	1	"33 :
                            54"		
16	JDG	11	LNG	27	1	"34 :
                            04"		
5	JDG	19	LNG	24	2	"37 :
                            41"		
15	UP	22	RW	37	1	"36 :
                            04"		
16	UP	5	RW	21	1	"40 :
                            33"		
15	UP	3	RW	18	2	"29 :
                            39"		
5	BLG	18	LGD	23	1	"29 :
                            37"		
6	LGD	21	BLG	27	1	"28 :
                            54"		
5	LGD	24	BLG	29	1	"27 :
                            29"		
17	WE	2	V5	19	1	"27 :
                            31"		
10	LNG	15	FPX	25	1	"39 :
                            53"		
21	LNG	20	FPX	41	1	"35 :
                            02"		
5	TT	19	TES	24	2	"31 :
                            18"		
22	LNG	5	FPX	27	1	"24 :
                            55"		
20	TES	2	TT	22	2	"24 :
                            01"		
10	V5	22	RA	32	2	"25 :
                            40"		
11	RNG	18	OMG	29	1	"36 :
                            16"		
7	OMG	15	RNG	22	2	"29 :
                            41"		
18	LGD	21	JDG	39	1	"28 :
                            12"		
19	RNG	34	OMG	53	1	"40 :
                            35"		
4	JDG	19	LGD	23	1	"36 :
                            45"		
14	TT	21	FPX	35	1	"40 :
                            49"		
3	JDG	14	LGD	17	1	"26 :
                            43"		
11	TT	26	FPX	37	1	"28 :
                            11"		
24	EDG	11	RW	35	1	"24 :
                            30"		
10	RW	22	EDG	32	2	"37 :
                            56"		
16	SN	2	UP	18	2	"32 :
                            26"		
10	SN	7	BLG	17	1	"44 :
                            42"		
9	UP	26	SN	35	1	"23 :
                            48"		
19	SN	4	BLG	23	1	"25 :
                            52"		
11	OMG	1	RW	12	2	"33 :
                            51"		
11	OMG	1	RW	12	2			
16	UP	24	IG	40	2	"35 :
                            44"		
18	IG	12	UP	30	2	"31 :
                            57"		
4	TT	15	LNG	19	1	"33 :
                            54"		
17	TT	8	LNG	25	1	"30 :
                            23"		
12	TT	14	LNG	26	2	"53 :
                            43"		
2	RA	15	TES	17	1	"24 :
                            33"		
7	TES	17	RA	24	2	"24 :
                            57"		
17	TES	11	RA	28	2	"38 :
                            55"		
12	FPX	7	WE	19	1	"27 :
                            38"		
8	WE	19	FPX	27	1	"27 :
                            58"		
23	V5	9	JDG	32	2	"37 :
                            08"		
7	V5	19	JDG	26	2	"23 :
                            22"		
10	V5	24	JDG	34	2	"29 :
                            04"		
10	RW	23	RNG	33	1	"32 :
                            15"		
14	SN	13	EDG	27	1	"32 :
                            09"		
13	EDG	4	SN	17	1	"32 :
                            21"		
9	RW	23	RNG	32	2	"25 :
                            30"		
19	LGD	9	SN	28	2	"38 :
                            41"		
16	OMG	18	BLG	34	2	"35 :
                            26"		
5	IG	18	LNG	23	1	"31 :
                            32"		
19	EDG	10	JDG	29	1	"32 :
                            14"		
16	SN	7	LGD	23	1	"35 :
                            38"		
6	OMG	20	BLG	26	2	"27 :
                            32"		
24	LNG	1	IG	25	1	"24 :
                            04"		
18	LGD	15	SN	33	1	"31 :
                            47"		
19	EDG	8	JDG	27	1	"26 :
                            24"		
12	RA	4	WE	16	2	"33 :
                            00"		
15	TES	6	LGD	21	1	"37 :
                            49"		
18	WE	12	RA	30	2	"36 :
                            31"		
23	TES	20	LGD	43	1	"43 :
                            28"		
6	WE	16	RA	22	2	"26 :
                            23"		
15	RNG	18	FPX	33	1	"38 :
                            34"		
16	RNG	24	FPX	40	2	"25 :
                            33"		
7	RNG	21	FPX	28	2	"26 :
                            21"		
2	V5	11	TT	13	1	"37 :
                            07"		
8	V5	20	TT	28	2	"28 :
                            31"		
10	TT	12	OMG	22	2	"30 :
                            51"		
6	TT	17	OMG	23	1	"30 :
                            24"		
8	V5	23	RW	31	1	"27 :
                            17"		
14	RW	8	V5	22	2	"32 :
                            30"		
10	IG	18	LGD	28	2	"33 :
                            29"		
16	LGD	7	IG	23	1	"28 :
                            01"		
5	UP	21	EDG	26	2	"29 :
                            16"		
24	EDG	6	UP	30	2	"26 :
                            20"		
22	BLG	9	WE	31	1	"31 :
                            44"		
9	TES	19	RNG	28	2	"31 :
                            51"		
20	BLG	33	WE	53	1	"39 :
                            47"		
9	RNG	23	TES	32	2	"30 :
                            36"		
16	BLG	28	WE	44	2	"33 :
                            28"		
23	TES	5	RNG	28	2	"27 :
                            32"		
14	JDG	2	UP	16	2	"25 :
                            53"		
7	UP	18	JDG	25	1	"29 :
                            22"		
16	RA	15	LNG	31	1	"46 :
                            48"		
4	LNG	17	RA	21	1	"30 :
                            06"		
4	RW	15	LGD	19	1	"28 :
                            17"		
25	LGD	12	RW	37	1	"28 :
                            26"		
22	WE	11	OMG	33	1	"27 :
                            36"		
10	WE	20	OMG	30	2	"30 :
                            55"		
22	WE	26	OMG	48	2	"42 :
                            02"		
4	SN	13	RNG	17	1	"27 :
                            36"		
15	SN	8	RNG	23	1	"30 :
                            12"		
19	SN	11	RNG	30	2	"50 :
                            52"		
26	TES	14	EDG	40	2	"40 :
                            45"		
25	EDG	25	TES	50	2	"46 :
                            08"		
12	V5	15	BLG	27	1	"42 :
                            38"		
10	V5	19	BLG	29	1	"27 :
                            31"		
4	FPX	22	IG	26	2	"26 :
                            06"		
15	FPX	22	IG	37	1	"32 :
                            01"		
18	RA	12	JDG	30	2	"29 :
                            40"		
3	RA	11	JDG	14	2	"27 :
                            15"		
6	RW	14	IG	20	2	"24 :
                            03"		
13	RA	19	JDG	32	2	"35 :
                            03"		
17	RW	20	IG	37	1	"34 :
                            43"		
20	RW	13	IG	33	1	"34 :
                            15"		
