id,comune,provincia,paese,coordinate,lat,lon,data_sisma,popolazione_prima_del_sisma,url,fonte
43,Pieve Torina,MC,ITALIA,"43.0432872,13.0489107",43.0432872,13.0489107,24/08/2016,1379,http://www.comune.pievetorina.mc.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
44,San Ginesio,MC,ITALIA,"43.1084806,13.3187335",43.1084806,13.3187335,24/08/2016,3799,http://www.comune.sanginesio.mc.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
45,Sant’Angelo in Pontano,MC,ITALIA,"43.0986445,13.3967561",43.0986445,13.3967561,24/08/2016,1496,http://www.comune.santangeloinpontano.mc.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
46,Sarnano,MC,ITALIA,"43.0353798,13.2983099",43.0353798,13.2983099,24/08/2016,3375,http://www.comune.sarnano.mc.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
47,Ussita,MC,ITALIA,"42.9437596,13.137908",42.9437596,13.137908,24/08/2016,426,http://www.comune.ussita.mc.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
48,Visso,MC,ITALIA,"42.9312321,13.087449",42.9312321,13.087449,24/08/2016,1177,http://www.comune.visso.mc.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
49,Arrone,TR,ITALIA,"42.583433,12.7698649",42.583433,12.7698649,24/08/2016,2763,http://www.comune.arrone.terni.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
50,Cascia,PG,ITALIA,"42.7170082,13.0135022",42.7170082,13.0135022,24/08/2016,3217,http://www.comune.cascia.pg.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
51,Cerreto di Spoleto,PG,ITALIA,"42.8210425,12.9176291",42.8210425,12.9176291,24/08/2016,1075,https://comune.cerretodispoleto.pg.it/,https://www.poste.it/files/1476460664562/Elenco-comuni-colpiti_Allegato-1-e-2.pdf
52,Ferentillo,TR,ITALIA,"42.6207678,12.7887263",42.6207678,12.7887263,24/08/2016,1913,http://www.comune.ferentillo.tr.it/,https://www.p
