who,start_date,initial_deposit,requirements,completed_date,bonus_date,bonus
Chase,4/1/2016,25,direct deposit,04/22/2016,04/26/2016,150
Fifth Third,3/31/2016,50,three bill pays,4/15/2016,04/18/2016,200
