title,link,image
I'd Rather Be Camping,https://teespring.com/i-d-rather-be-camping-2016,https://s3.amazonaws.com/place.it/2016/47/5178109/6834abed1579402.png?r=14
White HTML Sarcasm End Tag,https://teespring.com/white-html-sarcasm-end-tag,https://s3.amazonaws.com/place.it/2016/48/5275953/10626a4a473c044.png?r=10
Keep Clam and Proofread,https://teespring.com/keep-clam-and-proofread-1,https://s3.amazonaws.com/place.it/2016/48/5298335/419c1044ac31f10.png?r=14
Black HTML Sarcasm End Tag,https://teespring.com/black-html-sarcasm-end-tag2,https://vangogh.teespring.com/og_pic/11796235/11950520/front.jpg?v=2016-12-26-05-00&background-image=wood&effects=inner-glow
I Love My Cockapoo,https://teespring.com/i-love-my-cockapoo-2017,https://s3.amazonaws.com/place.it/2017/02/5825790/0e41a8c7c5bd254.png?r=10
Who Rescued Who,https://teespring.com/who-rescued-who-2017-a,https://s3.amazonaws.com/place.it/2017/02/5837214/3616b5fa2e7d0fd.png?r=9
My Puppy is My Valentine,https://teespring.com/puppy-valentine,https://s3.amazonaws.com/place.it/2017/04/6018592/d2b2cf807a1253f.png?r=9
