Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25835759,Things to Make and Do in the Fourth Dimension,Matt    Parker,"Parker, Matt",,"=""0141975865""","=""9780141975863""",5,4.20,Penguin,Paperback,480,2015,2014,2017/08/12,2017/08/07,math,math (#30),read,"There seem to be fewer good popular mathematics books than, say, popular physics books. This book covers a whole range of mathematical topics, not because of their applications, but because math is fun! Parker covers things from exotic ways of cutting pizzas to making a computer from domino bricks. His enthusiasm is contagious and he always gives you the impression that you could have come up with these things yourself.<br/><br/>A very recommended read for everybody who enjoyed math in high school and university.",,,1,,,0,,,,,
31539950,"Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (Pottermore Presents, #2)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",2,4.20,Pottermore from J.K. Rowling,Kindle Edition,63,2016,2016,,2017/08/07,,,read,,,,1,,,0,,,,,
22919027,Een verhaal met een angel,Dave Goulson,"Goulson, Dave",Nico Groen,"=""9045026406""","=""9789045026404""",5,4.26,Atlas Contact,Paperback,315,2014,2013,2017/07/27,2017/07/28,environment,environment (#10),read,,,,1,,,0,,,,,
34882433,Regenesis: How Synthetic Biology Will Reinvent Nature and Ourselves,George M. Church,"Church, George M.",Ed Regis,"=""""","=""""",4,3.80,Basic Books,Kindle Edition,304,2014,2012,2017/07/23,2013/04/14,bio-engineering,bio-engineering (#25),read,,,,1,,,0,,,,,
13343734,Warbreaker,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.24,Gollancz,Kindle Edition,669,2011,2009,2017/07/18,2017/07/12,,,read,,,,1,,,0,,,,,
1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,"Ariely, Dan",,"=""006135323X""","=""9780061353239""",0,4.11,HarperCollins Canada ,Hardcover,400,2008,2007,,2017/07/09,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
25755021,Quantum Mechanics: The Theoretical Minimum (Theoretical Minimum #2),Leonard Susskind,"Susskind, Leonard",Art Friedman,"=""0141977817""","=""9780141977812""",5,4.31,Penguin Books,Paperback,364,2015,2014,2017/07/04,2017/06/22,physics,physics (#19),read,Physics remains a continuing interest of me and Susskind's theoretical minimum series explain it with quite enough rigour. ,,,1,,,0,,,,,
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",0,3.79,Random House,Hardcover,343,2017,2017,,2017/07/01,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
24428897,Lab-on-a-Chip Devices and Micro-Total Analysis Systems: A Practical Guide,Jaime Castillo-Leon,"Castillo-Leon, Jaime",Winnie E. Svendsen,"=""""","=""""",4,4.00,Springer,Kindle Edition,243,2014,2014,2017/06/19,2017/06/19,"bio-engineering, chemistry, references, physics","bio-engineering (#24), chemistry (#14), references (#21), physics (#18)",read,"Great reference on how to design a microfluidic/lab-on-a-chip system. Easily digestible in a short time, but packed with useful references and tables!",,,1,,,0,,,,,
34798072,We Have No Idea: A Guide to the Unknown Universe,Jorge Cham,"Cham, Jorge",Daniel Whiteson,"=""1473660165""","=""9781473660168""",4,4.27,John Murray,Hardcover,368,2017,2017,2017/06/14,2017/06/10,physics,physics (#17),read,,,,1,,,0,,,,,
24796231,The Story of My Teeth,Valeria Luiselli,"Luiselli, Valeria",Christina MacSweeney,"=""1566894093""","=""9781566894098""",3,3.47,Coffeehouse Press,Paperback,184,2015,2013,2017/06/15,2017/05/30,,,read,,,,1,,,0,,,,,
13585747,Biopunk: Solving Biotech's Biggest Problems in Kitchens and Garages,Marcus Wohlsen,"Wohlsen, Marcus",,"=""1617230073""","=""9781617230073""",5,3.64,Penguin USA,Paperback,272,2012,2011,,2016/03/12,bio-engineering,bio-engineering (#19),read,,,,1,,,0,,,,,
33311760,Memoirs of a Polar Bear,Yōko Tawada,"Tawada, Yōko",Susan Bernofsky,"=""1846276314""","=""9781846276316""",3,3.42,Portobello Books Ltd,Paperback,256,2017,2014,2017/05/26,2017/05/14,"magic-realism, novels","magic-realism (#9), novels (#68)",read,,,,1,,,0,,,,,
32827036,"Ink (Skin Books, #1)",Alice Broadway,"Broadway, Alice",,"=""1407172840""","=""9781407172842""",4,3.68,Scholastic,Paperback,366,2017,2017,2017/05/04,2017/04/30,,,read,,,,1,,,0,,,,,
21547935,"Electronics from the Ground Up:: Learn by Hacking, Designing, and Inventing",Ronald Quan,"Quan, Ronald",,"=""0071837280""","=""9780071837286""",0,4.08,McGraw-Hill Education Tab,Paperback,526,2014,2014,,2017/05/01,"currently-reading, bio-engineering, references","currently-reading (#9), bio-engineering (#23), references (#20)",currently-reading,,,,1,,,0,,,,,
26803614,The Sense of Style: The Thinking Person’s Guide to Writing in the 21st Century,Steven Pinker,"Pinker, Steven",,"=""""","=""9780241957714""",3,4.06,Penguin Books Ltd,Paperback,368,2015,2014,,2016/12/10,references,references (#18),read,Interesting reference on good (scientific) writing. The beginning was much more interesting than the end though...,,,1,,,0,,,,,
20451982,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""1472208668""","=""9781472208668""",4,3.99,Headline Book Publishing,Paperback,255,2014,2013,,2017/04/10,,,read,"Simple, but hauntingly beautiful story.",,,1,,,0,,,,,
28358171,Het smelt,Lize Spit,"Spit, Lize",,"=""""","=""""",0,3.70,Das Mag,Paperback,480,2016,2015,,2017/04/22,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
34813077,"Waking Gods (Themis Files, #2)",Sylvain Neuvel,"Neuvel, Sylvain",,"=""0718181719""","=""9780718181710""",4,4.07,Penguin Books Ltd,Paperback,322,2017,2017,2017/04/09,2017/04/10,fantasy,fantasy (#46),read,Less mystery and more action than 'Sleeping Gods'. I finished it within a day,,,1,,,0,,,,,
