ap-northeast-1;ap-northeast-1a;c1.medium
ap-northeast-1;ap-northeast-1a;c1.xlarge
ap-northeast-1;ap-northeast-1a;c3.2xlarge
ap-northeast-1;ap-northeast-1a;c3.4xlarge
ap-northeast-1;ap-northeast-1a;c3.8xlarge
ap-northeast-1;ap-northeast-1a;c3.large
ap-northeast-1;ap-northeast-1a;c3.xlarge
ap-northeast-1;ap-northeast-1a;c4.2xlarge
ap-northeast-1;ap-northeast-1a;c4.4xlarge
ap-northeast-1;ap-northeast-1a;c4.8xlarge
ap-northeast-1;ap-northeast-1a;c4.large
ap-northeast-1;ap-northeast-1a;c4.xlarge
ap-northeast-1;ap-northeast-1a;cc2.8xlarge
ap-northeast-1;ap-northeast-1a;cr1.8xlarge
ap-northeast-1;ap-northeast-1a;d2.2xlarge
ap-northeast-1;ap-northeast-1a;d2.4xlarge
ap-northeast-1;ap-northeast-1a;d2.8xlarge
ap-northeast-1;ap-northeast-1a;d2.xlarge
ap-northeast-1;ap-northeast-1a;g2.2xlarge
ap-northeast-1;ap-northeast-1a;g2.8xlarge
ap-northeast-1;ap-northeast-1a;hi1.4xlarge
ap-northeast-1;ap-northeast-1a;hs1.8xlarge
ap-northeast-1;ap-northeast-1a;i2.2xlarge
ap-northeast-1;ap-northeast-1a;i2.4xlarge
ap-northeast-1;ap-northeast-1a;i2.8xlarge
ap-northeast-1;ap-northeast-1a;i2.xlarge
ap-northeast-1;ap-northeast-1a;m1.large
ap-northeast-1;ap-northeast-1a;m1.medium
ap-northeast-1;ap-northeast-1a;m1.small
ap-northeast-1;ap-northeast-1a;m1.xlarge
ap-northeast-1;ap-northeast-1a;m2.2xlarge
ap-northeast-1;ap-northeast-1a;m2.4xlarge
ap-northeast-1;ap-northeast-1a;m2.xlarge
ap-northeast-1;ap-northeast-1a;m3.2xlarge
ap-northeast-1;ap-northeast-1a;m3.large
ap-northeast-1;ap-northeast-1a;m3.medium
ap-northeast-1;ap-northeast-1a;m3.xlarge
ap-northeast-1;ap-northeast-1a;m4.10xlarge
ap-northeast-1;ap-northeast-1a;m4.2xlarge
ap-northeast-1;ap-northeast-1a;m4.4xlarge
ap-northeast-1;ap-northeast-1a;m4.large
ap-northeast-1;ap-northeast-1a;m4.xlarge
ap-northeast-1;ap-northeast-1a;r3.2xlarge
ap-northeast-1;ap-northeast-1a;r3.4xlarge
ap-northeast-1;ap-northeast-1a;r3.8xlarge
ap-northeast-1;ap-northeast-1a;r3.large
ap-northeast-1;ap-northeast-1a;r3.xlarge
ap-northeast-1;ap-northeast-1a;t1.micro
ap-northeast-1;ap-northeast-1a;t2.large
ap-northeast-1;ap-northeast-1a;t2.medium
ap-northeast-1;ap-northeast-1a;t2.micro
ap-northeast-1;ap-northeast-1a;t2.small
ap-northeast-1;ap-northeast-1b;
ap-northeast-1;ap-northeast-1c;c1.medium
ap-northeast-1;ap-northeast-1c;c1.xlarge
ap-northeast-1;ap-northeast-1c;c3.2xlarge
ap-northeast-1;ap-northeast-1c;c3.4xlarge
ap-northeast-1;ap-northeast-1c;c3.8xlarge
ap-northeast-1;ap-northeast-1c;c3.large
ap-northeast-1;ap-northeast-1c;c3.xlarge
ap-northeast-1;ap-northeast-1c;c4.2xlarge
ap-northeast-1;ap-northeast-1c;c4.4xlarge
ap-northeast-1;ap-northeast-1c;c4.8xlarge
ap-northeast-1;ap-northeast-1c;c4.large
ap-northeast-1;ap-northeast-1c;c4.xlarge
ap-northeast-1;ap-northeast-1c;cc2.8xlarge
ap-northeast-1;ap-northeast-1c;cr1.8xlarge
ap-northeast-1;ap-northeast-1c;d2.2xlarge
ap-northeast-1;ap-northeast-1c;d2.4xlarge
ap-northeast-1;ap-northeast-1c;d2.8xlarge
ap-northeast-1;ap-northeast-1c;d2.xlarge
ap-northeast-1;ap-northeast-1c;g2.2xlarge
ap-northeast-1;ap-northeast-1c;g2.8xlarge
ap-northeast-1;ap-northeast-1c;hi1.4xlarge
ap-northeast-1;ap-northeast-1c;hs1.8xlarge
ap-northeast-1;ap-northeast-1c;i2.2xlarge
ap-northeast-1;ap-northeast-1c;i2.4xlarge
ap-northeast-1;ap-northeast-1c;i2.8xlarge
ap-northeast-1;ap-northeast-1c;i2.xlarge
ap-northeast-1;ap-northeast-1c;m1.large
ap-northeast-1;ap-northeast-1c;m1.medium
ap-northeast-1;ap-northeast-1c;m1.small
ap-northeast-1;ap-northeast-1c;m1.xlarge
ap-northeast-1;ap-northeast-1c;m2.2xlarge
ap-northeast-1;ap-northeast-1c;m2.4xlarge
ap-northeast-1;ap-northeast-1c;m2.xlarge
ap-northeast-1;ap-northeast-1c;m3.2xlarge
ap-northeast-1;ap-northeast-1c;m3.large
ap-northeast-1;ap-northeast-1c;m3.medium
ap-northeast-1;ap-northeast-1c;m3.xlarge
ap-northeast-1;ap-northeast-1c;m4.10xlarge
ap-northeast-1;ap-northeast-1c;m4.2xlarge
ap-northeast-1;ap-northeast-1c;m4.4xlarge
ap-northeast-1;ap-northeast-1c;m4.large
ap-northeast-1;ap-northeast-1c;m4.xlarge
ap-northeast-1;ap-northeast-1c;r3.2xlarge
ap-northeast-1;ap-northeast-1c;r3.4xlarge
ap-northeast-1;ap-northeast-1c;r3.8xlarge
ap-northeast-1;ap-northeast-1c;r3.large
ap-northeast-1;ap-northeast-1c;r3.xlarge
ap-northeast-1;ap-northeast-1c;t1.micro
ap-northeast-1;ap-northeast-1c;t2.large
ap-northeast-1;ap-northeast-1c;t2.medium
ap-northeast-1;ap-northeast-1c;t2.micro
