GISJOIN,YEAR,STATE,STATEA,NAME,A00AA
"G100","2000","Delaware","10","Delaware",783600
"G110","2000","District Of Columbia","11","District of Columbia",572059
"G120","2000","Florida","12","Florida",15982378
"G130","2000","Georgia","13","Georgia",8186453
"G150","2000","Hawaii","15","Hawaii",1211537
"G160","2000","Idaho","16","Idaho",1293953
"G170","2000","Illinois","17","Illinois",12419293
"G180","2000","Indiana","18","Indiana",6080485
"G190","2000","Iowa","19","Iowa",2926324
"G200","2000","Kansas","20","Kansas",2688418
"G210","2000","Kentucky","21","Kentucky",4041769
"G220","2000","Louisiana","22","Louisiana",4468976
"G230","2000","Maine","23","Maine",1274923
"G240","2000","Maryland","24","Maryland",5296486
"G250","2000","Massachusetts","25","Massachusetts",6349097
"G260","2000","Michigan","26","Michigan",9938444
"G270","2000","Minnesota","27","Minnesota",4919479
"G280","2000","Mississippi","28","Mississippi",2844658
"G290","2000","Missouri","29","Missouri",5595211
"G300","2000","Montana","30","Montana",902195
"G310","2000","Nebraska","31","Nebraska",1711263
"G320","2000","Nevada","32","Nevada",1998257
"G330","2000","New Hampshire","33","New Hampshire",1235786
"G340","2000","New Jersey","34","New Jersey",8414350
"G350","2000","New Mexico","35","New Mexico",1819046
"G360","2000","New York","36","New York",18976457
"G370","2000","North Carolina","37","North Carolina",8049313
"G380","2000","North Dakota","38","North Dakota",642200
"G390","2000","Ohio","39","Ohio",11353140
"G400","2000","Oklahoma","40","Oklahoma",3450654
"G410","2000","Oregon","41","Oregon",3421399
"G420","2000","Pennsylvania","42","Pennsylvania",12281054
"G440","2000","Rhode Island","44","Rhode Island",1048319
"G450","2000","South Carolina","45","South Carolina",4012012
"G460","2000","South Dakota","46","South Dakota",754844
"G470","2000","Tennessee","47","Tennessee",5689283
"G480","2000","Texas","48","Texas",20851820
"G490","2000","Utah","49","Utah",2233169
"G500","2000","Vermont","50","Vermont",608827
"G510","2000","Virginia","51","Virginia",7078515
"G530","2000","Washington","53","Washington",5894121
"G540","2000","West Virginia","54","West Virginia",1808344
"G550","2000","Wisconsin","55","Wisconsin",5363675
"G560","2000","Wyoming","56","Wyoming",493782
"G010","2010","Alabama","01","Alabama",4779736
"G020","2010","Alaska","02","Alaska",710231
"G040","2010","Arizona","04","Arizona",6392017
"G050","2010","Arkansas","05","Arkansas",2915918
"G060","2010","California","06","California",37253956
"G080","2010","Colorado","08","Colorado",5029196
"G090","2010","Connecticut","09","Connecticut",3574097
"G100","2010","Delaware","10","Delaware",897934
"G110","2010","District Of Columbia","11","District of Columbia",601723
"G120","2010","Florida","12","Florida",18801310
"G130","2010","Georgia","13","Georgia",9687653
"G150","2010","Hawaii","15","Hawaii",1360301
"G160","2010","Idaho","16","Idaho",1567582
"G170","2010","Illinois","17","Illinois",12830632
"G180","2010","Indiana","18","Indiana",6483802
"G190","2010","Iowa","19","Iowa",3046355
"G200","2010","Kansas","20","Kansas",2853118
"G210","2010","Kentucky","21","Kentucky",4339367
"G220","2010","Louisiana","22","Louisiana",4533372
"G230","2010","Maine","23","Maine",1328361
"G240","2010","Maryland","24","Maryland",5773552
"G250","2010","Massachusetts","25","Massachusetts",6547629
"G260","2010","Michigan","26","Michigan",9883640
"G270","2010","Minnesota","27","Minnesota",5303925
"G280","2010","Mississippi","28","Mississippi",2967297
"G290","2010","Missouri","29","Missouri",5988927
"G300","2010","Montana","30","Montana",989415
"G310","2010","Nebraska","31","Nebraska",1826341
"G320","2010","Nevada","32","Nevada",2700551
"G330","2010","New Hampshire","33","New Hampshire",1316470
"G340","2010","New Jersey","34","New Jersey",8791894
"G350","2010","New Mexico","35","New Mexico",2059179
"G360","2010","New York","36","New York",19378102
"G370","2010","North Carolina","37","North Carolina",9535483
"G380","2010","North Dakota","38","North Dakota",672591
"G390","2010","Ohio","39","Ohio",11536504
"G400","2010","Oklahoma","40","Oklahoma",3751351
"G410","2010","Oregon","41","Oregon",3831074
"G420","2010","Pennsylvania","42","Pennsylvania",12702379
"G440","2010","Rhode Island","44","Rhode Island",1052567
"G450","2010","South Carolina","45","South Carolina",4625364
"G460","2010","South Dakota","46","South Dakota",814180
"G470","2010","Tennessee","47","Tennessee",6346105
"G480","2010","Texas","48","Texas",25145561
"G490","2010","Utah","49","Utah",2763885
"G500","2010","Vermont","50","Vermont",625741
"G510","2010","Virginia","51","Virginia",8001024
"G530","2010","Washington","53","Washington",6724540
"G540","2010","West Virginia","54","West Virginia",1852994
"G550","2010","Wisconsin","55","Wisconsin",5686986
"G560","2010","Wyoming","56","Wyoming",563626
"G720","2010","Puerto Rico","72","Puerto Rico",3725789
