route,Free Flow Speed,2019 Peak Hour Mean Speed,2019 Peak Hour 5th Speed,2019 Speed Ratio,2019 BTI,2020 Peak Hour Mean Speed,2020 Peak Hour 5th Speed,2020 Speed Ratio,2020 BTI,2021 Peak Hour Mean Speed,2021 Peak Hour 5th Speed,2021 Speed Ratio,2021 BTI,2019 Congested,2019 Reliability,2020 Congested,2020 Reliability,2021 Congested,2021 Reliability
mlk_guadalupe$guadalupe_21st,19.63624511082138,13.083471074380165,5.0,0.6662919005411053,1.616694214876033,16.891129032258064,7.0,0.8602015780985284,1.4130184331797233,,,,,Not Congested,Unreliable Travel Time,Not Congested,Moderately Reliable Travel Time,,
mlk_guadalupe$guadalupe_24th,20.46644844517185,10.615291262135923,4.0,0.5186679697053218,1.6538228155339807,15.625581395348837,9.0,0.763473029392894,0.7361757105943152,,,,,Congested,Unreliable Travel Time,Not Congested,Reliable Travel Time,,
mlk_guadalupe$guadalupe_5th,19.9171974522293,8.611904761904762,4.0,0.43238536860218985,1.1529761904761906,14.2,11.7,0.7129517109050207,0.2136752136752136,,,,,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
mlk_guadalupe$lamar_mlk,20.11627906976744,21.83783783783784,14.0,1.0855803780659272,0.55984555984556,25.17365269461078,14.0,1.2514070125644665,0.7981180496150558,,,,,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
mlk_guadalupe$mlk_lavaca,13.360119047619047,11.813760379596678,4.0,0.8842556220860958,1.9534400948991695,13.527910685805423,5.0,1.01255914244389,1.7055821371610849,,,,,Not Congested,Unreliable Travel Time,Not Congested,Unreliable Travel Time,,
mlk_guadalupe$mlk_red_river,19.604761904761904,7.300925925925926,4.0,0.37240574312471325,0.8252314814814815,13.989143546441495,8.0,0.7135584514823207,0.7486429433051869,,,,,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
mlk_ih35$mlk_red_river,40.12619047619047,30.998080614203456,16.0,0.772514914731232,0.9373800383877161,37.552734375,23.0,0.9358659252061948,0.6327275815217392,,,,,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
mlk_lavaca$mlk_guadalupe,14.709063214013709,12.142786069651741,4.0,0.8255308915990647,2.0356965174129353,12.292834890965732,4.0,0.8357320049623573,2.073208722741433,,,,,Not Congested,Unreliable Travel Time,Not Congested,Unreliable Travel Time,,
mlk_lavaca$mlk_red_river,22.29342842587876,6.667989417989418,4.0,0.29910112032158553,0.6669973544973544,15.656299840510366,9.650000000000006,0.702283181457014,0.6224144912445967,13.488558352402746,7.0,0.6050463883224393,0.9269369074861066,Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time
mlk_red_river$mlk_guadalupe,21.207419898819563,13.985645933014354,8.0,0.6594694686925502,0.7482057416267941,19.284274193548388,12.0,0.9093173184457851,0.6070228494623657,,,,,Not Congested,Reliable Travel Time,Not Congested,Reliable Travel Time,,
