who,start_date,initial_deposit,requirements,completed_date,bonus_date,bonus
Chase,4/1/2016,25,direct deposit,4/22/2016,4/26/2016,150
Fifth Third,3/31/2016,50,three bill pays,4/15/2016,4/18/2016,200
