"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"1946-001","1946-001-01","1946-001-01-01","1946-001-01-01-01",11/18/1946,1,"329 U.S. 1","67 S. Ct. 6","91 L. Ed. 3","1946 U.S. LEXIS 1724",1946,1301,"Vinson","24","HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/1946,10/23/1946,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,"35 U.S.C. § 33",78,78,1,8,1
"1946-002","1946-002-01","1946-002-01-01","1946-002-01-01-01",11/18/1946,1,"329 U.S. 14","67 S. Ct. 13","91 L. Ed. 12","1946 U.S. LEXIS 1725",1946,1301,"Vinson","12","CLEVELAND v. UNITED STATES",10/10/1945,10/17/1946,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,"18 U.S.C. § 398",81,87,1,6,3
"1946-003","1946-003-01","1946-003-01-01","1946-003-01-01-01",11/18/1946,1,"329 U.S. 29","67 S. Ct. 1","91 L. Ed. 22","1946 U.S. LEXIS 3037",1946,1301,"Vinson","21","CHAMPLIN REFINING CO. v. UNITED STATES ET AL.",11/8/1945,10/18/1946,209,,27,,2,66,,1,107,42,107,42,0,1,,2,1,2,0,0,0,0,80250,8,2,0,1,,2,207,,84,78,1,5,4
"1946-004","1946-004-01","1946-004-01-01","1946-004-01-01-01",11/25/1946,7,"329 U.S. 40","67 S. Ct. 167","91 L. Ed. 29","1946 U.S. LEXIS 1696",1946,1301,"Vinson","26","UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.",1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,"49 Stat. 801",87,87,1,5,3
"1946-005","1946-005-01","1946-005-01-01","1946-005-01-01-01",11/25/1946,1,"329 U.S. 64","67 S. Ct. 154","91 L. Ed. 44","1946 U.S. LEXIS 2997",1946,1301,"Vinson","50","UNITED STATES v. HOWARD P. FOLEY CO., INC.",10/25/1946,,27,,176,,1,,,0,3,,3,,0,2,,2,1,3,0,1,0,0,80060,8,2,0,7,,,,"NA",78,87,1,6,3
"1946-006","1946-006-01","1946-006-01-01","1946-006-01-01-01",11/25/1946,1,"329 U.S. 69","67 S. Ct. 156","91 L. Ed. 80","1946 U.S. LEXIS 3005",1946,1301,"Vinson","46","RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION",10/24/1946,,198,,4,6,2,117,6,0,302,6,300,6,1,1,3,2,3,3,0,1,0,0,80100,8,1,0,2,,1,129,"NA",81,87,1,7,1
"1946-007","1946-007-01","1946-007-01-01","1946-007-01-01-01",11/25/1946,1,"329 U.S. 90","67 S. Ct. 133","91 L. Ed. 103","1946 U.S. LEXIS 3053",1946,1301,"Vinson","4","AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION",11/16/1945,10/14/1946,148,,405,,1,105,,0,21,,21,,0,10,2,2,1,2,0,0,0,0,80120,8,2,0,1,,6,600,"15 U.S.C. § 79",82,74,1,6,0
"1946-008","1946-008-01","1946-008-01-01","1946-008-01-01-01",12/9/1946,1,"329 U.S. 129","67 S. Ct. 231","91 L. Ed. 128","1946 U.S. LEXIS 2995",1946,1301,"Vinson","11","ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.",4/25/1946,10/24/1946,189,,189,,1,24,,0,54,9,23,,0,12,5,2,1,5,0,1,0,0,90200,9,1,0,4,,6,600,"35 U.S.C. § 89",87,87,1,9,0
"1946-009","1946-009-01","1946-009-01-01","1946-009-01-01-01",12/9/1946,1,"329 U.S. 143","67 S. Ct. 245","91 L. Ed. 136","1946 U.S. LEXIS 3047",1946,1301,"Vinson","25","UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.",2/27/1946,11/13/1946,4,2,248,,1,117,2,0,44,2,29,,1,10,2,2,1,7,0,1,0,0,70190,7,1,0,4,5,5,512,,87,87,1,9,0
"1946-010","1946-010-01","1946-010-01-01","1946-010-01-01-01",12/9/1946,1,"329 U.S. 156","67 S. Ct. 237","91 L. Ed. 162","1946 U.S. LEXIS 3048",1946,1301,"Vinson","42","VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.",10/22/1946,,135,,114,,1,,,0,73,21,26,,0,10,3,2,1,2,0,0,0,0,80030,8,2,0,4,,3,307,,78,87,1,8,0
"1946-011","1946-011-01","1946-011-01-01","1946-011-01-01-01",12/9/1946,1,"329 U.S. 173","67 S. Ct. 216","91 L. Ed. 172","1946 U.S. LEXIS 1657",1946,1301,"Vinson","36","CARTER v. ILLINOIS",11/15/1946,,126,,28,17,1,,,0,302,17,300,17,0,10,2,1,1,2,0,0,0,0,10120,1,1,0,2,,2,214,,80,87,1,5,4
"1946-012","1946-012-01","1946-012-01-01","1946-012-01-01-01",12/9/1946,1,"329 U.S. 187","67 S. Ct. 261","91 L. Ed. 181","1946 U.S. LEXIS 1658",1946,1301,"Vinson","37","BALLARD ET AL. v. UNITED STATES",10/15/1946,,100,,27,,1,,,0,51,6,29,,1,10,2,1,1,3,0,1,0,0,20130,2,2,0,3,,,,,81,78,1,6,3
"1946-013","1946-013-01","1946-013-01-01","1946-013-01-01-01",12/9/1946,1,"329 U.S. 207","67 S. Ct. 211","91 L. Ed. 193","1946 U.S. LEXIS 1659",1946,1301,"Vinson","67","UNITED STATES v. BRUNO",11/22/1946,,27,,137,,1,89,,0,92,35,23,,0,4,3,2,1,3,0,1,0,0,10430,1,1,0,4,,6,600,"50 U.S.C. § 925",81,78,1,9,0
"1946-014","1946-014-01","1946-014-01-01","1946-014-01-01-01",12/9/1946,1,"329 U.S. 211","67 S. Ct. 224","91 L. Ed. 196","1946 U.S. LEXIS 1660",1946,1301,"Vinson","51","FISWICK ET AL. v. UNITED STATES",11/19/1946,,106,,27,,1,,,0,92,35,23,,1,4,2,1,1,3,0,1,0,0,10400,1,2,0,4,,6,600,"18 U.S.C. § 88",81,78,1,9,0
"1946-015","1946-015-01","1946-015-01-01","1946-015-01-01-01",12/9/1946,1,"329 U.S. 223","67 S. Ct. 213","91 L. Ed. 204","1946 U.S. LEXIS 3147",1946,1301,"Vinson","65","FEDERAL COMMUNICATIONS COMMISSION v. WOKO, INC.",11/22/1946,,338,,221,,1,38,,0,32,,32,,1,10,3,1,1,4,0,1,0,0,80320,8,2,0,4,5,3,326,,84,87,1,8,0
"1946-016","1946-016-01","1946-016-01-01","1946-016-01-01-01",12/9/1946,1,"329 U.S. 230","67 S. Ct. 252","91 L. Ed. 209","1946 U.S. LEXIS 2996",1946,1301,"Vinson","40","UNITED STATES v. CARMACK",10/18/1946,,27,,166,,1,58,,0,86,30,28,,0,10,2,1,1,4,0,1,0,0,40070,4,2,0,4,,6,600,"40 U.S.C. § 341",86,87,1,9,0
"1946-017","1946-017-01","1946-017-01-01","1946-017-01-01-01",12/16/1946,1,"329 U.S. 249","67 S. Ct. 274","91 L. Ed. 265","1946 U.S. LEXIS 1616",1946,1301,"Vinson","3","FREEMAN, TRUSTEE, v. HEWIT, DIRECTOR OF GROSS INCOME TAX DIVISION",10/8/1944,10/14/1946,102,,19,18,2,,,0,302,18,300,18,0,1,3,2,3,3,0,1,0,0,80100,8,1,0,2,,1,111,,80,74,1,6,3
"1946-018","1946-018-01","1946-018-01-01","1946-018-01-01-01",12/16/1946,1,"329 U.S. 287","67 S. Ct. 207","91 L. Ed. 290","1946 U.S. LEXIS 1617",1946,1301,"Vinson","54","UNITED STATES v. RUZICKA ET AL., TRADING AS SEELEY DAIRY",11/20/1946,,27,,158,,1,4,,0,66,17,27,,1,10,3,1,1,3,0,1,0,0,80170,8,2,0,5,4,6,600,"7 U.S.C. § 601",80,87,1,9,0
"1946-019","1946-019-01","1946-019-01-01","1946-019-01-01-01",12/16/1946,1,"329 U.S. 296","67 S. Ct. 271","91 L. Ed. 296","1946 U.S. LEXIS 3145",1946,1301,"Vinson","48","ROTHENSIES, COLLECTOR OF INTERNAL REVENUE, v. ELECTRIC STORAGE BATTERY CO.",11/15/1946,,369,,240,,1,69,,0,109,45,23,,0,10,2,1,1,3,0,1,0,0,120010,12,2,0,7,,,,,84,87,1,6,3
"1946-020","1946-020-01","1946-020-01-01","1946-020-01-01-01",12/23/1946,1,"329 U.S. 304","67 S. Ct. 313","91 L. Ed. 308","1946 U.S. LEXIS 1582",1946,1301,"Vinson","59","EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. SAMUELS",11/21/1946,,306,,142,,1,24,,0,92,35,23,,0,2,4,2,1,3,0,1,0,0,30130,3,1,0,5,4,3,366,,81,87,1,9,0
"1946-021","1946-021-01","1946-021-01-01","1946-021-01-01-01",12/23/1946,1,"329 U.S. 317","67 S. Ct. 320","91 L. Ed. 318","1946 U.S. LEXIS 1583",1946,1301,"Vinson","58","EAGLES, POST COMMANDING OFFICER, v. UNITED STATES EX REL. HOROWITZ",11/21/1946,,306,,142,,1,24,,0,92,35,23,,0,2,4,2,1,3,0,1,0,0,30130,3,1,0,5,4,3,366,,81,87,1,9,0
"1946-022","1946-022-01","1946-022-01-01","1946-022-01-01-01",12/23/1946,1,"329 U.S. 324","67 S. Ct. 324","91 L. Ed. 322","1946 U.S. LEXIS 3044",1946,1301,"Vinson","60","NATIONAL LABOR RELATIONS BOARD v. A. J. TOWER CO.",11/21/1946,,382,,151,,1,82,,0,21,,21,,0,3,8,1,1,3,0,1,0,0,70100,7,2,0,5,4,3,356,,82,87,1,8,1
"1946-023","1946-023-01","1946-023-01-01","1946-023-01-01-01",12/23/1946,1,"329 U.S. 338","67 S. Ct. 301","91 L. Ed. 331","1946 U.S. LEXIS 1584",1946,1301,"Vinson","23","GIBSON v. UNITED STATES",1/2/1946,10/23/1946,142,,27,,1,24,,0,115,49,28,,0,10,2,1,1,3,0,1,0,0,30130,3,2,0,4,,3,366,,85,78,1,9,0
"1946-024","1946-024-01","1946-024-01-01","1946-024-01-01-01",12/23/1946,1,"329 U.S. 362","67 S. Ct. 340","91 L. Ed. 348","1946 U.S. LEXIS 3045",1946,1301,"Vinson","35","ILLINOIS EX REL. GORDON, DIRECTOR OF LABOR, v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",3/28/1946,11/19/1946,28,17,369,,1,117,17,0,302,17,300,17,0,11,3,2,1,2,0,0,0,0,120030,12,2,0,4,,3,307,,85,87,1,7,2
"1946-025","1946-025-01","1946-025-01-01","1946-025-01-01-01",12/23/1946,1,"329 U.S. 379","67 S. Ct. 332","91 L. Ed. 359","1946 U.S. LEXIS 1585",1946,1301,"Vinson","53","UNITED STATES v. SHERIDAN",11/12/1946,,27,,100,,1,,,0,81,27,26,,0,4,3,2,1,4,0,1,0,0,10430,1,1,0,4,,6,600,"18 U.S.C. § 413",85,78,1,7,2
"1946-026","1946-026-01","1946-026-01-01","1946-026-01-01-01",1/6/1947,1,"329 U.S. 394","67 S. Ct. 416","91 L. Ed. 374","1947 U.S. LEXIS 3019",1946,1301,"Vinson","70","EDWARD KATZINGER CO. v. CHICAGO METALLIC MANUFACTURING CO.",11/14/1946,,172,,177,,1,,,0,66,17,27,,0,5,2,2,1,2,0,0,0,0,80180,8,2,0,7,,5,507,,78,87,1,5,4
"1946-027","1946-027-01","1946-027-01-01","1946-027-01-01-01",1/6/1947,1,"329 U.S. 402","67 S. Ct. 421","91 L. Ed. 380","1947 U.S. LEXIS 3020",1946,1301,"Vinson","28","MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.",12/12/1946,,177,,172,,6,,,0,302,45,300,45,0,5,2,1,1,4,0,1,1,0,80180,8,2,0,7,,5,507,,78,87,1,5,4
"1946-028","1946-028-01","1946-028-01-01","1946-028-01-01-01",1/6/1947,1,"329 U.S. 416","67 S. Ct. 444","91 L. Ed. 390","1947 U.S. LEXIS 2796",1946,1301,"Vinson","75","INTERNATIONAL HARVESTER CO. v. EVATT, TAX COMMISSIONER",12/12/1946,,25,41,19,41,2,117,41,0,300,41,300,41,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,2,230,,78,87,1,9,0
"1946-029","1946-029-01","1946-029-01-01","1946-029-01-01-01",1/6/1947,1,"329 U.S. 424","67 S. Ct. 435","91 L. Ed. 396","1947 U.S. LEXIS 2902",1946,1301,"Vinson","61","UNITED STATES ET AL. v. SEATRAIN LINES, INC.",12/9/1946,,27,,116,,2,66,,1,54,9,54,9,0,1,8,1,1,2,0,0,0,0,80230,8,1,0,4,5,3,343,,78,87,1,9,0
"1946-030","1946-030-01","1946-030-01-01","1946-030-01-01-01",1/6/1947,1,"329 U.S. 433","67 S. Ct. 439","91 L. Ed. 402","1947 U.S. LEXIS 2797",1946,1301,"Vinson","79","STEELE v. GENERAL MILLS, INC.",11/18/1946,,245,,234,,1,117,51,0,120,51,25,,1,10,3,1,1,3,0,1,0,0,80110,8,2,0,6,,,,,78,87,1,9,0
"1946-031","1946-031-01","1946-031-01-01","1946-031-01-01-01",1/6/1947,1,"329 U.S. 441","67 S. Ct. 411","91 L. Ed. 408","1947 U.S. LEXIS 2883",1946,1301,"Vinson","66","BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM ET AL. v. AGNEW ET AL.",12/10/1946,,354,,119,,1,54,,0,55,10,32,,1,12,3,1,1,3,0,1,0,0,80120,8,2,0,4,5,6,600,"12 U.S.C. § 77",81,78,1,9,0
"1946-032","1946-032-01","1946-032-01-01","1946-032-01-01-01",1/13/1947,1,"329 U.S. 452","67 S. Ct. 401","91 L. Ed. 416","1947 U.S. LEXIS 2776",1946,1301,"Vinson","88","JESIONOWSKI, ADMINISTRATRIX, v. BOSTON & MAINE RAILROAD",12/16/1946,,145,,231,,1,,,0,80,26,21,,0,12,3,1,1,3,0,1,0,0,80040,8,2,0,4,,4,400,,78,87,1,6,3
"1946-033","1946-033-01","1946-033-01-01","1946-033-01-01-01",1/13/1947,7,"329 U.S. 459","67 S. Ct. 374","91 L. Ed. 422","1947 U.S. LEXIS 2777",1946,1301,"Vinson","142","LOUISIANA EX REL. FRANCIS v. RESWEBER, SHERIFF, ET AL.",11/18/1946,,126,,28,22,1,,,0,302,22,300,22,0,11,9,1,1,2,0,0,0,0,10130,1,1,0,2,,2,231,,79,87,1,5,4
"1946-034","1946-034-01","1946-034-01-01","1946-034-01-01-01",1/13/1947,1,"329 U.S. 482","67 S. Ct. 428","91 L. Ed. 436","1947 U.S. LEXIS 2965",1946,1301,"Vinson","87","ANDERSON, RECEIVER, v. YUNGKAU, EXECUTOR, ET AL.",12/19/1946,,166,,237,,1,,,0,73,21,26,,1,10,2,1,1,2,0,0,0,0,90110,9,1,0,4,,4,400,,81,78,1,5,2
"1946-035","1946-035-01","1946-035-01-01","1946-035-01-01-01",1/13/1947,1,"329 U.S. 495","67 S. Ct. 385","91 L. Ed. 451","1947 U.S. LEXIS 2966",1946,1301,"Vinson","47","HICKMAN, ADMINISTRATOR, v. TAYLOR ET AL., TRADING AS TAYLOR & ANDERSON TOWING & LIGHTERAGE CO., ET AL.",11/13/1946,,145,,116,,1,,,0,109,45,23,,0,3,3,1,1,2,0,0,0,0,50040,5,1,0,4,,4,400,,82,87,1,9,0
"1946-036","1946-036-01","1946-036-01-01","1946-036-01-01-01",1/13/1947,1,"329 U.S. 520","67 S. Ct. 405","91 L. Ed. 471","1947 U.S. LEXIS 2967",1946,1301,"Vinson","63","ORDER OF RAILWAY CONDUCTORS OF AMERICA ET AL. v. SWAN ET AL.",12/10/1946,,249,,384,,1,84,,0,66,17,27,,0,10,2,2,1,2,0,0,0,0,90320,9,2,0,4,5,3,363,,82,87,1,8,1
"1946-037","1946-037-01","1946-037-01-01","1946-037-01-01-01",1/20/1947,1,"329 U.S. 531","67 S. Ct. 463","91 L. Ed. 479","1947 U.S. LEXIS 2747",1946,1301,"Vinson","80","PARKER ET AL. v. FLEMING, TEMPORARY CONTROLS ADMINISTRATOR",12/18/1946,,241,,389,,1,89,,0,10,,10,,0,10,9,1,1,3,0,1,0,0,90120,9,2,0,5,4,6,600,"58 Stat. 632",78,87,1,6,3
"1946-038","1946-038-01","1946-038-01-01","1946-038-01-01-01",1/20/1947,1,"329 U.S. 539","67 S. Ct. 448","91 L. Ed. 485","1947 U.S. LEXIS 2748",1946,1301,"Vinson","229","PATTERSON, SECRETARY OF WAR, ET AL. v. LAMB",1/7/1947,,324,,142,,1,24,,0,55,10,32,,0,10,3,2,1,3,0,1,0,0,90120,9,1,0,5,,,,,78,87,1,9,0
"1946-039","1946-039-01","1946-039-01-01","1946-039-01-01-01",1/20/1947,1,"329 U.S. 545","67 S. Ct. 451","91 L. Ed. 488","1947 U.S. LEXIS 2962",1946,1301,"Vinson","62","MORRIS v. JONES, DIRECTOR OF INSURANCE",12/9/1946,,171,,171,,1,,,0,302,17,300,17,0,10,2,3,1,3,0,1,0,0,110030,11,3,0,2,,1,143,,81,87,1,6,3
"1946-040","1946-040-01","1946-040-01-01","1946-040-01-01-01",1/20/1947,1,"329 U.S. 565","67 S. Ct. 467","91 L. Ed. 504","1947 U.S. LEXIS 2963",1946,1301,"Vinson","92","GARDNER, TRUSTEE, v. NEW JERSEY",12/20/1946,,114,,28,35,1,,,0,92,35,23,,0,10,3,1,1,7,0,1,0,0,80030,8,2,0,1,,1,112,,81,87,1,9,0
"1946-041","1946-041-01","1946-041-01-01","1946-041-01-01-01",1/20/1947,1,"329 U.S. 585","67 S. Ct. 398","91 L. Ed. 521","1947 U.S. LEXIS 2863",1946,1301,"Vinson","106","UNITED STATES v. THAYER-WEST POINT HOTEL CO.",12/20/1946,,27,,241,,1,24,,0,3,,3,,0,12,,2,1,3,0,1,0,0,80060,8,2,0,4,,6,600,"28 U.S.C. § 284",82,87,1,9,0
"1946-042","1946-042-01","1946-042-01-01","1946-042-01-01-01",2/3/1947,1,"329 U.S. 591","67 S. Ct. 540","91 L. Ed. 527","1947 U.S. LEXIS 2901",1946,1301,"Vinson","97","KRUG, SECRETARY OF THE INTERIOR, ET AL. v. SANTA FE PACIFIC RAILROAD CO.",1/6/1947,,326,,231,,1,,,0,55,10,32,,0,10,3,1,1,3,0,1,0,0,80220,8,2,0,4,,6,600,"49 U.S.C. § 65",78,87,1,9,0
"1946-043","1946-043-01","1946-043-01-01","1946-043-01-01-01",2/3/1947,1,"329 U.S. 599","67 S. Ct. 606","91 L. Ed. 532","1947 U.S. LEXIS 2861",1946,1301,"Vinson","148","ALBRECHT ET AL. v. UNITED STATES",1/8/1947,,195,,27,,1,,,0,86,30,28,,0,3,3,2,1,2,0,0,0,0,40070,4,2,0,1,,2,211,,78,87,1,7,2
"1946-044","1946-044-01","1946-044-01-01","1946-044-01-01-01",2/3/1947,1,"329 U.S. 607","67 S. Ct. 583","91 L. Ed. 547","1947 U.S. LEXIS 2894",1946,1301,"Vinson","690","INSURANCE GROUP COMMITTEE ET AL. v. DENVER & RIO GRANDE WESTERN RAILROAD CO. ET AL.",1/6/1947,,135,,138,,1,,,0,52,7,28,,0,10,1,1,1,8,0,1,0,0,80220,8,2,0,4,,3,307,,79,87,1,8,1
"1946-045","1946-045-01","1946-045-01-01","1946-045-01-01-01",2/3/1947,1,"329 U.S. 637","67 S. Ct. 610","91 L. Ed. 563","1947 U.S. LEXIS 3022",1946,1301,"Vinson","208","TRANSPARENT-WRAP MACHINE CORP. v. STOKES & SMITH CO.",1/7/1947,,172,,177,,1,,,0,96,37,22,,1,3,3,2,1,4,0,1,0,0,80180,8,1,0,7,3,,,,81,87,1,5,4
"1946-046","1946-046-01","1946-046-01-01","1946-046-01-01-01",2/3/1947,1,"329 U.S. 649","67 S. Ct. 598","91 L. Ed. 572","1947 U.S. LEXIS 2694",1946,1301,"Vinson","320","ELLIS v. UNION PACIFIC RAILROAD CO.",1/16/1947,,145,,231,,1,,,0,302,32,300,32,0,4,3,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,81,87,1,9,0
"1946-047","1946-047-01","1946-047-01-01","1946-047-01-01-01",2/3/1947,1,"329 U.S. 654","67 S. Ct. 601","91 L. Ed. 577","1947 U.S. LEXIS 2862",1946,1301,"Vinson","94","UNITED STATES v. N. Y. RAYON IMPORTING CO., INC. (#2) ET AL.",1/8/1947,,27,,234,,1,60,,0,3,,3,,0,12,,2,1,3,0,1,0,0,80060,8,2,0,4,,6,600,"28 U.S.C. § 177",82,87,1,9,0
"1946-048","1946-048-01","1946-048-01-01","1946-048-01-01-01",2/3/1947,6,"329 U.S. 663","67 S. Ct. 596","91 L. Ed. 584","1947 U.S. LEXIS 2695",1946,1301,"Vinson","140","De MEERLEER v. MICHIGAN",1/6/1947,,100,,28,27,1,,,0,302,27,300,27,0,10,2,1,1,3,0,1,0,0,10120,1,2,0,2,,2,214,,,,1,9,0
"1946-049","1946-049-01","1946-049-01-01","1946-049-01-01-01",2/10/1947,1,"330 U.S. 1","67 S. Ct. 504","91 L. Ed. 711","1947 U.S. LEXIS 2959",1946,1301,"Vinson","52","EVERSON v. BOARD OF EDUCATION OF THE TOWNSHIP OF EWING ET AL.",11/20/1946,,25,35,21,35,2,,,0,302,35,300,35,0,1,3,1,1,2,0,0,0,0,30170,3,1,0,2,,2,230,,78,87,1,5,4
"1946-050","1946-050-01","1946-050-01-01","1946-050-01-01-01",2/10/1947,1,"330 U.S. 75","67 S. Ct. 556","91 L. Ed. 754","1947 U.S. LEXIS 2960",1946,1301,"Vinson","20","UNITED PUBLIC WORKERS OF AMERICA (C. I. O.) ET AL. v. MITCHELL ET AL.",12/3/1945,10/17/1946,8,60,320,,2,20,,1,55,10,55,10,0,1,,1,1,2,0,0,0,0,90340,9,1,0,4,,4,403,,79,74,1,4,3
"1946-051","1946-051-01","1946-051-01-01","1946-051-01-01-01",2/10/1947,1,"330 U.S. 127","67 S. Ct. 544","91 L. Ed. 794","1947 U.S. LEXIS 2860",1946,1301,"Vinson","84","OKLAHOMA v. UNITED STATES CIVIL SERVICE COMMISSION",10/17/1946,,28,42,320,,1,20,,0,106,42,30,,0,10,2,1,1,2,0,0,0,0,30010,3,1,0,1,,6,600,"18 U.S.C. § 12",79,87,1,5,2
"1946-052","1946-052-01","1946-052-01-01","1946-052-01-01-01",2/17/1947,1,"330 U.S. 158","67 S. Ct. 644","91 L. Ed. 816","1947 U.S. LEXIS 2958",1946,1301,"Vinson","335","WALLING, WAGE AND HOUR ADMINISTRATOR, v. NASHVILLE, CHATTANOOGA & ST. LOUIS RAILWAY",1/17/1947,,371,,151,,1,,,0,117,50,26,,1,10,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,78,87,1,9,0
"1946-053","1946-053-01","1946-053-01-01","1946-053-01-01-01",2/17/1947,1,"330 U.S. 160","67 S. Ct. 645","91 L. Ed. 818","1947 U.S. LEXIS 2647",1946,1301,"Vinson","190","BOZZA v. UNITED STATES",1/7/1947,,100,,27,,1,,,0,92,35,23,,0,12,6,1,1,6,0,0,0,0,10170,1,1,0,1,,2,206,,78,87,1,9,0
"1946-054","1946-054-01","1946-054-01-01","1946-054-01-01-01",2/17/1947,1,"330 U.S. 169","67 S. Ct. 650","91 L. Ed. 823","1947 U.S. LEXIS 2648",1946,1301,"Vinson","141","CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES",1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3
"1946-055","1946-055-01","1946-055-01-01","1946-055-01-01-01",2/17/1947,1,"330 U.S. 183","67 S. Ct. 657","91 L. Ed. 832","1947 U.S. LEXIS 2649",1946,1301,"Vinson","31","ANGEL v. BULLINGTON",3/5/1946,11/18/1946,123,,233,,1,,,0,100,38,24,,0,10,2,2,1,3,0,1,1,0,90460,9,1,0,7,,5,506,,80,78,1,6,3
"1946-056","1946-056-01","1946-056-01-01","1946-056-01-01-01",3/3/1947,1,"330 U.S. 212","67 S. Ct. 752","91 L. Ed. 849","1947 U.S. LEXIS 2582",1946,1301,"Vinson","184","CONE v. WEST VIRGINIA PULP & PAPER CO.",2/3/1947,,195,,243,,1,,,0,114,48,24,,0,11,3,2,1,3,0,1,0,0,90330,9,1,0,4,,4,400,,78,87,1,9,0
"1946-057","1946-057-01","1946-057-01-01","1946-057-01-01-01",3/3/1947,1,"330 U.S. 219","67 S. Ct. 756","91 L. Ed. 854","1947 U.S. LEXIS 2955",1946,1301,"Vinson","38","NATIONAL LABOR RELATIONS BOARD v. DONNELLY GARMENT CO. ET AL.",10/16/1946,,382,,151,,1,82,,0,28,,28,,1,10,9,1,1,4,0,1,0,0,70070,7,2,0,5,1,2,207,,80,87,1,9,0
"1946-058","1946-058-01","1946-058-01-01","1946-058-01-01-01",3/3/1947,1,"330 U.S. 238","67 S. Ct. 742","91 L. Ed. 868","1947 U.S. LEXIS 2893",1946,1301,"Vinson","56","UNITED STATES v. POWELL ET AL., RECEIVERS",1/13/1947,,27,,231,,1,,,0,126,55,24,,0,10,2,1,1,2,0,0,0,0,80220,8,1,0,4,,6,600,"49 U.S.C. § 65",81,79,1,8,1
"1946-059","1946-059-01","1946-059-01-01","1946-059-01-01-01",3/3/1947,1,"330 U.S. 248","67 S. Ct. 747","91 L. Ed. 876","1947 U.S. LEXIS 2859",1946,1301,"Vinson","400","NORTHERN PACIFIC RAILWAY CO. v. UNITED STATES",1/13/1947,,231,,27,,1,,,0,133,58,27,,0,12,2,2,1,2,0,0,0,0,80220,8,2,0,4,,6,600,"49 U.S.C. § 65",81,87,1,9,0
"1946-060","1946-060-01","1946-060-01-01","1946-060-01-01-01",3/6/1947,1,"330 U.S. 258","67 S. Ct. 677","91 L. Ed. 884","1947 U.S. LEXIS 2954",1946,1301,"Vinson","759","UNITED STATES v. UNITED MINE WORKERS OF AMERICA",1/14/1947,,27,,249,,1,,,0,55,10,32,,0,13,,2,1,2,1,1,0,0,10080,1,1,0,4,,6,600,"50 U.S.C. § 1501",87,87,1,5,4
"1946-061","1946-061-01","1946-061-01-01","1946-061-01-01-01",3/10/1947,1,"330 U.S. 386","67 S. Ct. 810","91 L. Ed. 967","1947 U.S. LEXIS 2950",1946,1301,"Vinson","431","TESTA ET AL. v. KATT",2/14/1947,,123,,125,,1,,,0,302,47,301,47,0,3,4,1,1,4,0,1,0,0,100050,10,2,0,2,,1,148,,78,87,1,9,0
"1946-062","1946-062-01","1946-062-01-01","1946-062-01-01-01",3/10/1947,1,"330 U.S. 395","67 S. Ct. 775","91 L. Ed. 973","1947 U.S. LEXIS 2951",1946,1301,"Vinson","6","UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA v. UNITED STATES",3/8/1945,10/15/1946,249,,27,,1,,,0,50,6,29,,0,3,2,2,1,4,0,1,0,0,70020,7,1,0,4,,3,367,,79,74,1,5,3
