"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2010-061","2010-061-01","2010-061-01-01","2010-061-01-01-01",6/13/2011,5,"564 U.S. 210","131 S. Ct. 2312","180 L. Ed. 2d 222","2011 U.S. LEXIS 4378",2010,1704,"Roberts","09-5801","RUBEN FLORES-VILLAR, PETITIONER v. UNITED STATES",11/10/2010,,106,,27,,1,,,0,,,29,,0,12,,1,1,2,0,0,0,0,20270,2,1,0,3,,9,900,"NA",,,1,4,4
"2010-062","2010-062-01","2010-062-01-01","2010-062-01-01-01",6/13/2011,1,"564 U.S. 162","131 S. Ct. 2313","180 L. Ed. 2d 187","2011 U.S. LEXIS 4381",2010,1704,"Roberts","10-382","UNITED STATES, PETITIONER v. JICARILLA APACHE NATION",4/20/2011,,27,,170,,1,,,0,3,,8,,0,12,2,2,1,4,0,1,0,0,20150,2,1,0,4,7,6,600,"28-1491",112,111,1,7,1
"2010-063","2010-063-01","2010-063-01-01","2010-063-01-01-01",6/13/2011,1,"564 U.S. 135","131 S. Ct. 2296","180 L. Ed. 2d 166","2011 U.S. LEXIS 4380",2010,1704,"Roberts","09-525","JANUS CAPITAL GROUP, INC., et al., PETITIONERS v. FIRST DERIVATIVE TRADERS",12/7/2010,,173,,237,,1,,,0,79,,24,,0,11,3,2,1,3,0,1,0,0,80120,8,1,0,5,,3,365,"NA",108,111,1,5,4
"2010-064","2010-064-01","2010-064-01-01","2010-064-01-01-01",6/13/2011,1,"564 U.S. 117","131 S. Ct. 2343","180 L. Ed. 2d 150","2011 U.S. LEXIS 4379",2010,1704,"Roberts","10-568","NEVADA COMMISSION ON ETHICS, PETITIONER v. MICHAEL A. CARRIGAN",4/27/2011,,4,33,8,33,1,,,0,302,33,300,33,1,12,3,2,1,4,0,1,0,0,30010,3,1,0,2,,2,200,"NA",105,111,1,9,0
"2010-065","2010-065-01","2010-065-01-01","2010-065-01-01-01",6/16/2011,1,"564 U.S. 211","131 S. Ct. 2355","180 L. Ed. 2d 269","2011 U.S. LEXIS 4558",2010,1704,"Roberts","09-1227","CAROL ANNE BOND, PETITIONER v. UNITED STATES",2/22/2011,,253,,27,,1,,,0,109,,23,,0,12,2,1,1,4,0,1,1,0,90220,9,2,0,1,,1,139,"NA",106,111,1,9,0
"2010-066","2010-066-01","2010-066-01-01","2010-066-01-01-01",6/16/2011,1,"564 U.S. 229","131 S. Ct. 2419","180 L. Ed. 2d 285","2011 U.S. LEXIS 4560",2010,1704,"Roberts","09-11328","WILLIE GENE DAVIS, PETITIONER v. UNITED STATES",3/21/2011,,137,,27,,1,,,0,41,,31,,0,2,2,1,1,2,0,0,0,0,10060,1,1,0,7,,5,502,"NA",112,111,1,7,2
"2010-067","2010-067-01","2010-067-01-01","2010-067-01-01-01",6/16/2011,1,"564 U.S. 261","131 S. Ct. 2394","180 L. Ed. 2d 310","2011 U.S. LEXIS 4557",2010,1704,"Roberts","09-11121","J. D. B., PETITIONER v. NORTH CAROLINA",3/23/2011,,175,,28,38,1,,,0,302,38,300,38,1,11,2,1,1,4,0,1,0,0,10100,1,2,0,7,2,2,210,"NA",113,106,1,5,4
"2010-068","2010-068-01","2010-068-01-01","2010-068-01-01-01",6/16/2011,1,"564 U.S. 299","131 S. Ct. 2368","180 L. Ed. 2d 341","2011 U.S. LEXIS 4559",2010,1704,"Roberts","09-1205","KEITH SMITH, et al., PETITIONERS v. BAYER CORPORATION",1/18/2011,,134,,143,,1,,,0,83,,28,,0,2,2,2,1,3,0,1,0,0,100020,10,1,0,4,,6,600,"28-2283",114,111,1,9,0
"2010-069","2010-069-01","2010-069-01-01","2010-069-01-01-01",6/16/2011,1,"564 U.S. 319","131 S. Ct. 2382","180 L. Ed. 2d 357","2011 U.S. LEXIS 4556",2010,1704,"Roberts","10-5400","ALEJANDRA TAPIA, PETITIONER v. UNITED STATES",4/18/2011,,137,,27,,1,,,0,51,,29,,0,2,2,1,1,4,0,1,0,0,10560,1,2,0,4,,6,600,"18-3582",114,111,1,9,0
"2010-070","2010-070-01","2010-070-01-01","2010-070-01-01-01",6/20/2011,1,"564 U.S. 338","131 S. Ct. 2541","180 L. Ed. 2d 374","2011 U.S. LEXIS 4567",2010,1704,"Roberts","10-277","WAL-MART STORES, INC., PETITIONER v. BETTY DUKES et al.",3/29/2011,,238,,154,,1,,,0,50,,29,,1,2,6,2,1,3,0,1,0,0,90250,9,1,0,4,,4,400,"NA",105,111,1,5,4
